gesture_id,gesture_end_time,classification_time,latency_ms,shape
09d238bf-06c8-4454-b2af-ba06f8a224b3,1773499298.786952,1773499299.2138455,426.8934726715088,stroke
f026c31e-a091-4b9b-a3be-ae965350fc25,1773499302.4465072,1773499302.806301,359.79390144348145,stroke
c3b0b132-9753-400a-b469-7b9957a1acbc,1773499303.2236707,1773499303.6491766,425.5058765411377,stroke
e601ba55-96c1-4f8c-9579-4587c310d590,1773499309.4275224,1773499309.825612,398.0896472930908,stroke
95870b24-756c-4cfc-b0c3-4efab9141e4a,1773499320.9036875,1773499321.311436,407.7484607696533,stroke
1ee5aedb-61e5-40bf-9613-8d686409cf70,1773499328.1978552,1773499328.6040761,406.2209129333496,circle
7b9c353c-f7db-4c78-8639-76aab162c410,1773499339.8567765,1773499340.2684064,411.62991523742676,stroke
9cd1a433-1f7f-4b57-bc64-4a5869317b7a,1773499347.4896452,1773499347.9130116,423.3663082122803,rect
8918e4e0-b273-4c27-973e-9916081a3e63,1773499358.4367783,1773499358.7995317,362.75339126586914,stroke
f994e0c4-6dbe-42d2-9909-c102dc36f8bd,1773499359.3593786,1773499359.7584193,399.04069900512695,stroke
6e47fa4c-9f11-410d-89bd-d15fa1821063,1773499368.3958986,1773499368.8115437,415.6451225280762,rect
22799b0b-df05-4a22-9d00-9645e8641480,1773499372.3800876,1773499372.770411,390.3234004974365,stroke
c67060e2-5ec5-4053-afa6-b837099be816,1773499375.184305,1773499375.5746088,390.3038501739502,stroke
5bae16dd-9ca5-482e-bcdc-d93a43aa449b,1773499380.3457415,1773499380.7644877,418.7462329864502,stroke
30d84728-9b4c-4c9a-81e7-b60ef7220655,1773499386.2928412,1773499386.7038376,410.9964370727539,circle
39bc468e-5d8e-42ac-99e1-ccaf732d0f7f,1773499387.9516888,1773499388.3098643,358.17551612854004,stroke
d6040dd4-f2fb-4c3d-ab9e-6fa6be84cbd4,1773499392.3536093,1773499392.7469594,393.35012435913086,circle
3839b7a5-af3b-4c1b-8322-3ca322f044fa,1773499393.6993773,1773499394.0556417,356.2643527984619,stroke
235039bb-bc1d-4e16-b2b0-29432cd5422a,1773499397.3578465,1773499397.7325966,374.75013732910156,stroke
1bb809d8-7c68-4ca8-b9bb-bfbf926be142,1773499399.1520145,1773499399.5489905,396.9759941101074,stroke
466be9ac-37b7-4bef-b1ba-662f581047b3,1773499401.0882614,1773499401.4828296,394.56820487976074,stroke
560a1a46-3c7e-409a-877b-1174a30bb35c,1773499402.734921,1773499403.099999,365.0779724121094,stroke
ab3e917f-894e-489c-811f-e5e61aa905d8,1773499403.6156347,1773499404.0148654,399.2307186126709,stroke
1a03bece-268a-415b-8c2a-ff2191af27d1,1773499404.791032,1773499405.148731,357.698917388916,stroke
c9e098d9-c45f-4572-bcdd-d1e337b03b32,1773499405.3560364,1773499405.763814,407.7775478363037,stroke
1a03c59e-b6cd-44e2-a097-b436e8d186ba,1773499406.5692945,1773499406.9520206,382.72619247436523,stroke
09516067-9769-4b6f-8eac-6f771599b0ea,1773499408.2713046,1773499408.6627026,391.39795303344727,stroke
7fb345ff-51b3-4134-a8e3-fc3786e913ca,1773499410.870989,1773499411.2834973,412.5082492828369,stroke
46a16e7b-ecd1-41a6-9119-afbb9acc7e5f,1773499413.5882998,1773499413.9780054,389.7056579589844,stroke
d8d3829d-724b-4737-8b19-9d9dcf8b8c9c,1773499414.5944653,1773499415.019905,425.43983459472656,stroke
8cf42a68-0929-414a-b0e0-bc8d76d04898,1773499416.8790734,1773499417.289042,409.96861457824707,stroke
fa1d9287-d1ff-4239-9430-f11a478cf7f4,1773499425.5559256,1773499425.9150538,359.1282367706299,stroke
49d88f18-1880-4146-bed2-f7c21d4015e4,1773499431.4704244,1773499431.8391936,368.76916885375977,stroke
c118499f-3ed7-49dc-a839-436c135edeb6,1773499432.2558107,1773499432.637172,381.3612461090088,stroke
6d7f0271-4435-4188-8bef-d9fd655b1b17,1773499434.5946624,1773499434.9816213,386.9588375091553,stroke
f4d52b10-879c-4aeb-ae7e-d8fcc2dee6d5,1773499443.392318,1773499443.75975,367.4318790435791,rect
99177008-9c25-4764-8871-52c0f0e95af6,1773499445.4815073,1773499445.873091,391.5836811065674,stroke
7e4fc145-4360-4822-8f83-d60a92c1d821,1773499448.7174344,1773499449.0902212,372.7867603302002,stroke
efb67230-d003-42b3-bd0c-5f426d678be6,1773499452.094883,1773499452.4737055,378.82256507873535,stroke
188911f2-1bf0-4f13-8f65-93405dd38bfa,1773499460.1089215,1773499460.4916184,382.69686698913574,stroke
29de312e-784e-4bd9-bcda-f2c8c6e01802,1773499469.8505769,1773499470.2636368,413.05994987487793,stroke
09a5a80d-0421-4406-8c83-deddb2d6dd5e,1773499472.4979196,1773499472.9028997,404.9801826477051,stroke
